start,open,high,low,close,volume,trades,action
1547593200000,3543.97,3565.1,3542.43,3553.06,1064.7677370000004,8145,1
1547596800000,3553.06,3565.47,3543.51,3561.05,1070.8385540000002,7818,1
1547600400000,3561.05,3569.89,3558.34,3568.74,674.1164130000001,5901,1
1547604000000,3567.83,3568.79,3555.38,3564.83,762.1299330000002,6318,1
1547607600000,3564.85,3575.37,3560,3572.5,703.880532,6501,1
1547611200000,3572.55,3583.71,3570.57,3572.95,1437.6779549999997,7832,1
1547614800000,3572.63,3582.53,3570,3578.81,910.5712049999998,6754,0
1547618400000,3578.97,3580.89,3565.5,3569.93,801.8082539999997,6193,1
1547622000000,3570.12,3572,3552.25,3555.07,920.5165910000002,7673,1
1547625600000,3556.04,3599.99,3553.96,3585,1375.8090920000004,9849,0
1547629200000,3585.71,3603.96,3580,3580.63,1719.1667659999994,10254,0
